English,table_name,Parent,Scheme
Departments,afdel___,,dbo
Overheads by section,afdohk__,,dbo
Products: Handlings,afgafw__,,dbo
Products: Data - Quantities,afgant__,,dbo
Products,afgart__,,dbo
History stock movements products,afgbew__,,dbo
Cumuls products by financial year,afgbjr__,,dbo
Boxes,afgbox__,,dbo
Graduated prices by client by product,afgclt__,,dbo
Production maps,afgcmb__,,dbo
Production maps: press runs,afgcmd__,,dbo
Production maps: operations,afgcmo__,,dbo
Free field descriptions sales orders,afgext__,,dbo
Stock products - Invoiced,afgfac__,,dbo
Products: additional information,afginf__,,dbo
Cumuls products by calendar year,afgkjr__,,dbo
Products: color models,afgklm__,,dbo
Products: colours,afgklr__,,dbo
Detailed costs and benefits of production,afgkst__,,dbo
Cumuls products by calendar year / month,afgmnd__,,dbo
Overproduction,afgovp__,,dbo
Cumuls products by financial year / period,afgper__,,dbo
Product types,afgprd__,,dbo
Product movements,afgpry__,,dbo
Product stock - Reserved,afgres__,,dbo
SKU (Products),afgsku__,,dbo
Product compositions,afgsms__,,dbo
Groupings for products,afgvdt__,,dbo
Product stock,afgvrd__,dbo.hisafg__,dbo
Current amounts call off contracts,afrant__,,dbo
Call agreements (V5),afrktr__,,dbo
Purchase documents,akpdok__,,dbo
General dossier parameters,algpar__,,dbo
Accounts,algrek__,,dbo
Alternative balance sheet accounts,altbal__,,dbo
Analytical entries,anaboe__,,dbo
Levels analytical accounting,ananiv__,,dbo
Purchasesheets products: details,aprlyn__,,dbo
History boxes,archive_afgbox__,dbo.afgbox__,dbo
History SKU (Products),archive_afgsku__,dbo.afgsku__,dbo
Archive History currencies,archive_hismnt__,dbo.hismnt__,dbo
History quarantine,archive_hisqrt__,dbo.hisqrt__,dbo
History status changes (SKU)(Archive),archive_histst_afgsku__,dbo.histst__,dbo
History location movements,archive_hisvak__,dbo.hisvak__,dbo
Palets,archive_palet___,dbo.palet___,dbo
Movements of SKU products,archive_skubew__,dbo.skubew__,dbo
Tools movements,arhbew__,,dbo
Material categories,artcat__,,dbo
SKU tools,arthld__,,dbo
Tools,arthlp__,,dbo
Tool shapes,arthlp_shapes__,,dbo
Shape layers per tool,arthlp_shapes_laag__,,dbo
Links between tools,arthlp_sms__,,dbo
Tool variants,arthlp_variant__,,dbo
Tool variant shapes,arthlp_variant_shapes__,,dbo
Material SKUs,artikd__,,dbo
"Materials: dates, prices and quantities",artikn__,,dbo
Imported data from material catalogues,artikp__,,dbo
Materials,artiky__,,dbo
Materials: additional information,artinf__,,dbo
Customers per material,artkla__,,dbo
Suppliers per material,artlev__,,dbo
Language-related data for the lay-outs,aspttl__,,dbo
Automatical numbering administration,autadm__,,dbo
Automatical numbering parameters,autbas__,,dbo
Automatic numbering accountancy,autbv5__,,dbo
Automatic sequence numbers (based on AutoTag): definition,autdef__,,dbo
Automatical numbering invoices,autfak__,,dbo
Web authentication via api key,auth_api_key__,,dbo
Authentication clients,auth_client__,,dbo
Automatic numbering,autinc__,,dbo
Automatic numbering logistics 2,autlo2__,,dbo
Automatical numbering logistics 3,autlo3__,,dbo
Automatical numbering logistics,autlog__,,dbo
Automatical numbering management,autman__,,dbo
Automatic sequence numbers (based on AutoTag): values,autnbr__,,dbo
Automatical numbering production,autpro__,,dbo
Automatical numbering clockings,auttij__,,dbo
General dossier parameters,autusr__,,dbo
Automatical numbering calculation,autvoo__,,dbo
Finishing procedures,aw_prc__,,dbo
Finishing processes of a finishing procedure,aw_prh__,,dbo
,aw_sd___,,dbo
Finishing processes,aw_std__,,dbo
,aw_typ__,,dbo
Barcodes,barcod__,,dbo
Purchasesheets subcontractor,besbon__,,dbo
Terms of payment,betkon__,,dbo
Manners of payment,betwij__,,dbo
Accountancy parameters,bkhpar__,,dbo
Classes of chart of accounts,bklas___,,dbo
Financial years,boekja__,,dbo
Estimate letter translation text lines / Status sales order (W4L),brftxt__,,dbo
Extension britak__,briext__,,dbo
Tags to create messages,britag__,,dbo
Messages,britak__,,dbo
Call-off contracts,bstafr__,,dbo
Extra data order line items (sales orders),bstext__,dbo.hisext__,dbo
Sales orders,bstlyn__,,dbo
production commands,bstprd__,dbo.bstlyn__,dbo
Temporary sales orders (obsolete),bsttmp__,dbo.bstlyn__,dbo
Free invoice lines on sales order,bstvfl__,,dbo
Accounts for free invoice lines on sales order,bstvfr__,,dbo
VAT-links with accounts,btwlnk__,,dbo
VAT systems,btwsys__,,dbo
Budgets,budalg__,,dbo
"Budgets by client, by financial year, by period",budbjr__,,dbo
Budgets,budget__,,dbo
Budget by machine,budgwp__,,dbo
"Budgets by client, by calendar year, by month",budkjr__,,dbo
"Hourly wages by machine, by month",budrea__,,dbo
Types of budgets,budsrt__,,dbo
CAD outputs,cad_output__,,dbo
Calendars,catkal__,,dbo
Status of Cerm8 commands (e.g. creation of sales order),cerm8_command_status__,,dbo
Cerm8 event hooks,cerm8_event_hooks__,,dbo
Cerm8 OAuth2 Clients,cerm8_oauth2_clients__,,dbo
Cerm8 synchronization status,cerm8_sync__,,dbo
Cerm8 synchronization connectors,cerm8_sync_connectors__,,dbo
,cerm8_sync_next__,,dbo
"Catalog ""Checks""",chkcat__,,dbo
Show checklist,chlvrg__,,dbo
Click estimations,cl_est__,,dbo
Colorbooks,clbook__,,dbo
Color Strategies,clstgy__,,dbo
Colors per ColorStrategy,clstkl__,,dbo
Journals,dagbkn__,,dbo
Device/Costcenter/Activity mapping,dcamap__,,dbo
Sales invoices ISGRAM,debes0__,,dbo
Device counters,devcnt__,,dbo
Digital Media,digmed__,,dbo
Various documents,divdok__,,dbo
Detail product type parts,dl_det__,,dbo
Product type parts,dl_prd__,,dbo
Production flow operations for a product type part,dl_prd_pf_operation__,,dbo
General site data,dosbas__,,dbo
Substrates not usable on a standard product,drg_bk__,,dbo
Link Substrate - Digital Media,drgdgm__,,dbo
Substrates,drgers__,,dbo
Availability list substrates,drgpal__,,dbo
Substrate types (Level 2),drgsrt__,,dbo
Substrate types (Level 1),drgtyp__,,dbo
Passages by printing method,drk_dg__,,dbo
Sheet finishing processes (inline/offline),drkafp__,,dbo
Types of finishing (sheet/rotation),drkafs__,,dbo
Special runs,drkasd__,,dbo
Default sizes,drkfmt__,,dbo
Calculation materials,drkgrd__,,dbo
Methods for consumption of materials,drkgrv__,,dbo
Printing models,drkimp__,,dbo
Tools Calculation,drkmat__,,dbo
Machine groups sheet/web,drkmgr__,,dbo
Imposition procedures,drkmnt__,,dbo
In-line finishing possibilities on the presses,drkpaf__,,dbo
Printing parameters,drkpar__,,dbo
Press runs printing procedures,drkpdg__,,dbo
